Sample ID,Sample Name,Object ID,Sr Number,"""Antisemitism is a certain perception of Jews, which may be expressed as hatred toward Jews. Rhetorical and physical manifestations of antisemitism are directed toward Jewish or non-Jewish individuals and/or their property, toward Jewish community institutions and religious facilities.""",Is the post still online?,Is the post antisemitic according to IHRA-WDA?,"IHRA Section That Applies (check at least one). If you judged the post to be antisemitic, select one or more of the following categories that best describe the expression:",What content type transports the antisemitic message? (check all that apply),"Is the post calling out or reporting on antisemitism? This includes posts that criticize, condemn, or report on antisemitic speech or incidents — in the present or past (excluding the Holocaust unless it includes present/future messaging like “never again”).",Time Taken
170,Datathon2025_team1,1781148811697484023,1,N/A,Online,Probably antisemitic,"Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Applying double standards to Israel (e.g., expectations not required of other nations), Holding Jews collectively responsible for actions of the state of Israel",Written text,No,101
170,Datathon2025_team1,1946266821516231006,2,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Using classic antisemitic tropes (e.g., blood libel) to characterize Israel or Israelis",Written text,No,235
170,Datathon2025_team1,1948176946044481898,3,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’","Written text, Post description, hashtag, or username",No,224
170,Datathon2025_team1,1947395762234814552,4,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’, Holding Jews collectively responsible for actions of the state of Israel","Written text, Post description, hashtag, or username",No,275
170,Datathon2025_team1,1800972403138494519,5,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’","Written text, Post description, hashtag, or username",No,123
170,Datathon2025_team1,1852435615230411054,6,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video, Link to antisemitic text or video",No,287
170,Datathon2025_team1,1768656358839107937,7,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power","Written text, Visuals / imagery / video",No,223
170,Datathon2025_team1,1926661381039759812,8,N/A,Online,Probably antisemitic,None or n/a,"Written text, Visuals / imagery / video",No,305
170,Datathon2025_team1,1714032884137247096,9,N/A,Online,Probably not antisemitic,None or n/a,"Written text, Visuals / imagery / video",Yes,324
170,Datathon2025_team1,1943750950373797890,10,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Using classic antisemitic tropes (e.g., blood libel) to characterize Israel or Israelis","Written text, Visuals / imagery / video",No,150
170,Datathon2025_team1,1947819563007017098,11,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Drawing comparisons between Israeli policy and that of the Nazis",Written text,No,436
170,Datathon2025_team1,1947806367554675127,12,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power",Written text,No,113
170,Datathon2025_team1,1831310890567614577,13,N/A,Online,Probably antisemitic,None or n/a,Written text,No,95
170,Datathon2025_team1,1948119898053279789,14,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video",No,164
170,Datathon2025_team1,1818780382252179854,15,N/A,Online,Probably antisemitic,None or n/a,Written text,No,89
170,Datathon2025_team1,1759028889941098672,16,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video",N/A,113
170,Datathon2025_team1,1785975242239975649,17,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video",No,115
170,Datathon2025_team1,1912630773456285831,18,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power","Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video",No,181
170,Datathon2025_team1,1944834304057737283,19,N/A,Online,Probably antisemitic,"Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Holding Jews collectively responsible for actions of the state of Israel","Written text, Visuals / imagery / video",No,567
170,Datathon2025_team1,1946238298529153309,20,N/A,Online,Probably not antisemitic,None or n/a, None or n/a,No,106
170,Datathon2025_team1,1948096319329010080,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947650726508872026,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1945933021322096847,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947130827696996383,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1928465063259549761,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1945903960457457842,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1946190319592014041,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1818031363381150097,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1784383025545167221,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1830664416158982566,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1944004137932181992,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1747958271657308508,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1932700616083567102,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1931270670215778421,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1733010823704990203,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947273046055649309,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1824119435289862604,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947720155045167321,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947875551538245752,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1779649132182765664,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1740999335826092119,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1946101730736742826,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1946840073481433204,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1935469516894650820,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1946990772005519467,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947759595122004049,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947904923624214669,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948063422161076296,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1736017212094181582,49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1935381005608583318,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948178449530564754,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1716122535434059874,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1939719261980643487,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1713292841223418215,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1745170453801337320,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1823637460196479384,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1720717171666415682,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1744666461312827758,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1905004456787456313,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1902180137652629641,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1795059044824101280,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1762108188554404021,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1771863209177120912,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1945796377965117754,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1714748635630416195,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1935747147112083637,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1786087576517947615,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1868830240040272094,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1723106761110933831,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1777847535195013330,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1729957727508517024,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1722211543813869607,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1810825420960329960,73,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947416802860142960,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1711916115239018697,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947827842420772906,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948058293274038603,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1866085807603532055,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1943133727757906015,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1779602948433093004,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1715770211956060546,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948305961216512039,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1949181193762545673,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1951649105249492999,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948425159464882688,85,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1949015095213793762,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1950485959130149081,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1951381469076550055,88,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1720902628199092580,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1834762093427351967,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948980151066165620,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1868138848519356677,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1948856468020621321,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1718625731599589603,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1926204141551907120,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1949736379249840491,96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1949271354005729508,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1950394987041984936,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1931821682886689251,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1756119054723711087,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1951660366494404824,101,N/A,N/A,N/A,N/A,N/A,N/A,N/A
